FacilityBuildingId,fkFacilityCampusAreaId,FacilityBuildingEstatesBlockCode,FacilityBuildingName,FacilityBuildingDescription,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1,2,018,COMPUTER SCIENCE BUILDING,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:20:02.683,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.260
2,1,001,ASHBY TOWER,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:20:02.683,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.260
3,1,002,ASHBY LAB BLOCK,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:20:02.683,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.260
4,2,010,10 MALONE ROAD,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-08 11:47:08.590,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.260
5,2,006,6 MALONE ROAD,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-08 11:47:08.590,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.260
6,2,016,16 MALONE ROAD,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-08 11:47:08.590,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.260
7,2,008,8 MALONE ROAD,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-08 11:47:08.590,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.260
8,2,014,14 MALONE ROAD,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-08 11:47:08.590,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.260
9,3,001,ECIT,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-08 11:56:30.867,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.260
