FacilityMeterId,fkMeterTypeId,fkFacilityBuildingId,FacilityMeterEstatesMeterId,FacilityMeterEstatesMeterCode,FacilityMeterName,FacilityMeterDescription,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1,2,5,34036,22006-R-E01,22006-R-E01,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
2,2,4,34040,22010-R-E01,22010-R-E01,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
3,2,1,34174,22018-R-E01,22018-R-E01,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
4,2,2,34445,34001-R-E12,34001-R-E12,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
5,2,2,34446,34001-R-E13,34001-R-E13,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
6,2,2,34468,34001-R-E35,34001-R-E35,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
7,2,2,34469,34001-R-E36,34001-R-E36,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
8,2,2,34545,34001-R-E46,34001-R-E46,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
9,2,2,34546,34001-R-E45,34001-R-E45,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
10,2,2,34547,34001-R-E47,34001-R-E47,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
11,2,2,34548,34001-R-E48,34001-R-E48,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
12,2,2,34549,34001-R-E50,34001-R-E50,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
13,2,2,34550,34001-R-E49,34001-R-E49,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
14,2,2,34551,34001-R-E51,34001-R-E51,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
15,2,2,34552,34001-R-E52,34001-R-E52,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
16,2,2,34553,34001-R-E56,34001-R-E56,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
17,2,2,34554,34001-R-E55,34001-R-E55,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
18,2,2,34555,34001-R-E54,34001-R-E54,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
19,2,2,34556,34001-R-E53,34001-R-E53,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
20,2,2,34557,34001-R-E57,34001-R-E57,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
21,2,2,34653,34001-R-E60,34001-R-E60,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
22,2,9,34418,58001-R-E01,58001-R-E01,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-22 08:59:28.823
