FacilityOrganisationalUnitId,FacilityOrganisationalUnitEstatesUnitCode,FacilityOrganisationalUnitName,FacilityOrganisationalUnitDescription,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1,201000,SCHOOL OF MECHANICAL & AEROSPACE ENGINEERING,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
2,203000,"SCHOOL OF ELECTRONICS, ELECTRICAL ENGINEERING & COMPUTER SCIENCE",NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
3,298000,FACULTY OFFICE,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
4,406000,ESTATES,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
5,406004,ESTATES SERVICES,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
6,413002,ACCOMMODATION,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
7,511001,CENTRALLY BOOKABLE,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
8,511005,BALANCE AREAS,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
9,511006,ESTATES LETTINGS,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
10,511007,ESTATES VACANT,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:37:11.993,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
11,404010,ACADEMIC AFFAIRS,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-08 11:47:07.997,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.650
